lumped_element_capacitance [pF],Freq [GHz],"mag(S(2,1)) []"
0.065,9.5,0.958918832
0.065,9.75,0.928808587
0.065,10,0.864589007
0.072291667,9.5,0.95033514
0.072291667,9.75,0.9097696
0.072291667,10,0.818083188
0.079583333,9.5,0.938950521
0.079583333,9.75,0.883239936
0.079583333,10,0.752770102
0.086875,9.5,0.924672685
0.086875,9.75,0.847099804
0.086875,10,0.667314919
0.094166667,9.5,0.906184826
0.094166667,9.75,0.798685759
0.094166667,10,0.579098889
0.101458333,9.5,0.881349711
0.101458333,9.75,0.73239684
0.101458333,10,0.524108916
0.10875,9.5,0.848724128
0.10875,9.75,0.650309162
0.10875,10,0.544200757
0.116041667,9.5,0.806868606
0.116041667,9.75,0.567675908
0.116041667,10,0.616202288
0.123333333,9.5,0.750000894
0.123333333,9.75,0.512826087
0.123333333,10,0.700297685
0.130625,9.5,0.678740865
0.130625,9.75,0.525238057
0.130625,10,0.770217274
0.137916667,9.5,0.595780426
0.137916667,9.75,0.594515821
0.137916667,10,0.824191439
0.145208333,9.5,0.528080687
0.145208333,9.75,0.67146337
0.145208333,10,0.860731944
0.1525,9.5,0.498260134
0.1525,9.75,0.739015636
0.1525,10,0.887533732
0.159791667,9.5,0.519915682
0.159791667,9.75,0.79166192
0.159791667,10,0.907468333
0.167083333,9.5,0.580370053
0.167083333,9.75,0.833389975
0.167083333,10,0.923050929
0.174375,9.5,0.64112194
0.174375,9.75,0.861295621
0.174375,10,0.933851965
0.181666667,9.5,0.702964727
0.181666667,9.75,0.884620257
0.181666667,10,0.943075227
0.188958333,9.5,0.760861944
0.188958333,9.75,0.904375819
0.188958333,10,0.951058154
0.19625,9.5,0.80119369
0.19625,9.75,0.918056028
0.19625,10,0.956898709
0.203541667,9.5,0.832867409
0.203541667,9.75,0.928946915
0.203541667,10,0.961708568
0.210833333,9.5,0.860617062
0.210833333,9.75,0.938494005
0.210833333,10,0.9659933
0.218125,9.5,0.877953351
0.218125,9.75,0.944843506
0.218125,10,0.969003793
0.225416667,9.5,0.893580868
0.225416667,9.75,0.950572119
0.225416667,10,0.971730848
0.232708333,9.5,0.905325986
0.232708333,9.75,0.955002142
0.232708333,10,0.973887814
0.24,9.5,0.917150901
0.24,9.75,0.959555228
0.24,10,0.976146154